seed,method,scope,facility,geometry,recall,precision,f1,auroc,margin_auroc,false_positive_rate
1,B3,seen,__all__,__all__,0.2569444444444444,0.24242424242424243,0.31509281678773204,0.15969810956790131,0.1626157407407407,-0.013888888888888888
1,P1,seen,__all__,__all__,0.2777777777777778,0.2762923351158645,0.3400490352840848,0.15969810956790131,0.15639467592592593,-0.017361111111111112
1,B1,seen,__all__,central_furniture,0.29166666666666663,0.11666666666666659,0.37363834422657954,0.21744791666666674,0.21744791666666674,0.0
1,B2,seen,__all__,central_furniture,0.4375,0.585,0.5503913894324853,0.15993923611111105,0.15993923611111105,-0.04166666666666667
1,B3,seen,__all__,central_furniture,0.45833333333333337,0.4973544973544974,0.5575757575757575,0.15993923611111105,0.16471354166666674,-0.020833333333333332
1,P1,seen,__all__,central_furniture,0.45833333333333337,0.5509259259259259,0.5595238095238095,0.15993923611111105,0.1577690972222222,-0.03125
1,B1,seen,__all__,clear,0.29166666666666674,0.23842592592592593,0.32291666666666663,0.22092013888888895,0.22092013888888895,-0.03125
1,B2,seen,__all__,clear,0.3125,0.3046153846153846,0.3678419043341567,0.13498263888888884,0.13498263888888884,-0.03125
1,B3,seen,__all__,clear,0.3125,0.26923076923076916,0.35932653965440847,0.13498263888888884,0.12868923611111105,-0.020833333333333336
1,P1,seen,__all__,clear,0.33333333333333337,0.24175824175824168,0.3692838654012079,0.13498263888888884,0.1284722222222222,-0.010416666666666671
1,B1,seen,__all__,vertical_mid,0.1875,,0.3050847457627119,0.1753472222222222,0.1753472222222222,0.020833333333333332
1,B2,seen,__all__,vertical_mid,0.08333333333333331,0.25,0.1262295081967213,0.16362847222222232,0.16362847222222232,-0.03125
1,B3,seen,__all__,vertical_mid,0.0,0.0,0.0,0.16362847222222232,0.17947048611111105,0.0
1,P1,seen,__all__,vertical_mid,0.04166666666666666,0.09615384615384615,0.060655737704918056,0.16362847222222232,0.1655815972222222,-0.010416666666666668
1,B1,seen,harsh,__all__,0.38888888888888895,0.2222222222222222,0.42573099415204674,0.22569444444444442,0.22569444444444442,-0.027777777777777776
1,B2,seen,harsh,__all__,0.4722222222222222,0.22999999999999998,0.47719173200285103,0.15866126543209869,0.15866126543209869,-0.02777777777777778
