budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.025,P1_minus_B3,unseen,standard,low_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.008506944444444442,0.007168688479882868,5,-0.0125,0.01141088661469096
0.025,P1_minus_B3,unseen,standard,two_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.0,0.0,5,0.007291666666666674,0.010800229871524857,5,-0.004166666666666667,0.009316949906249124
0.025,P1_minus_B3,unseen,standard,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.05815972222222221,0.04160785055974606,5,0.0,0.0
0.025,P1_minus_B3,unseen,standard,wide_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.0,0.0,5,-0.03472222222222221,0.027105026034715284,5,-0.004166666666666667,0.009316949906249124
0.05,P1_minus_B3,all,__all__,__all__,5,5,-0.002604166666666667,0.004871949722361902,5,0.03860549012173682,0.034840206004176984,5,-0.0033407713641734615,0.008038525140438381,5,0.0,0.0,5,0.0014105902777777901,0.0026313851636549966,5,-0.004166666666666666,0.0025046072996967915
0.05,P1_minus_B3,seen,__all__,__all__,5,5,-0.005555555555555555,0.007607257743127306,5,0.012959282263630089,0.036811605976787294,5,-0.007417004112711939,0.011765720694766871,5,0.0,0.0,5,-0.002256944444444464,0.005698948184779071,5,-0.004166666666666668,0.0057054433073454825
0.05,P1_minus_B3,seen,__all__,central_furniture,5,5,0.008333333333333333,0.01141088661469096,5,0.19976190476190475,0.20945006819230122,5,0.01811029703524632,0.020566360792824243,5,0.0,0.0,5,-0.0073784722222222324,0.006644666185935293,5,-0.016666666666666666,0.01743041721945991
0.05,P1_minus_B3,seen,__all__,clear,5,5,-0.025,0.01743041721945991,5,-0.03688095238095238,0.025654748094129542,5,-0.0315885666310478,0.021762537009113108,5,0.0,0.0,5,0.001258680555555558,0.0014830164551449376,5,0.002083333333333334,0.004658474953124564
0.05,P1_minus_B3,seen,__all__,vertical_mid,5,5,0.0,0.0,2,,,5,0.0,0.0,5,0.0,0.0,5,0.015798611111111117,0.012254465132763013,5,0.0020833333333333333,0.004658474953124562
0.05,P1_minus_B3,seen,harsh,__all__,5,5,0.005555555555555558,0.007607257743127311,5,-0.023457676476519217,0.03674200878922335,5,0.003961154459202804,0.013110849057902317,5,0.0,0.0,5,-0.0010416666666666964,0.0008023392879276789,5,0.008333333333333331,0.009054447785003677
0.05,P1_minus_B3,seen,harsh,central_furniture,5,5,0.016666666666666666,0.02282177322938192,5,-0.008571428571428586,0.03407341679999677,5,0.022288864414101606,0.03604238457655986,5,0.0,0.0,5,0.0,0.0,5,0.004166666666666666,0.009316949906249122
