budget,seed,method,scope,facility,geometry,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
0.01,0,P1,unseen,standard,wide_new,72,0,0,24,48,0.0,,0.0,0.0,0.5434027777777778,0.5147569444444444
0.01,1,B1,all,__all__,__all__,1152,10,4,374,764,0.026041666666666668,0.7142857142857143,0.05025125628140704,0.005208333333333333,0.5993754069010416,0.5993754069010416
0.01,1,B2,all,__all__,__all__,1152,13,5,371,763,0.033854166666666664,0.7222222222222222,0.06467661691542288,0.006510416666666667,0.6574503580729166,0.6574503580729166
0.01,1,B3,all,__all__,__all__,1152,11,5,373,763,0.028645833333333332,0.6875,0.055,0.006510416666666667,0.6574503580729166,0.6512858072916666
0.01,1,P1,all,__all__,__all__,1152,11,5,373,763,0.028645833333333332,0.6875,0.055,0.006510416666666667,0.6574503580729166,0.6564975314670138
0.01,1,B1,seen,__all__,__all__,432,9,4,135,284,0.0625,0.6923076923076923,0.11464968152866242,0.013888888888888888,0.6284239969135802,0.6284239969135802
0.01,1,B2,seen,__all__,__all__,432,8,3,136,285,0.05555555555555555,0.7272727272727273,0.1032258064516129,0.010416666666666666,0.6843894675925926,0.6843894675925926
0.01,1,B3,seen,__all__,__all__,432,6,3,138,285,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.010416666666666666,0.6843894675925926,0.6798804012345679
0.01,1,P1,seen,__all__,__all__,432,6,3,138,285,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.010416666666666666,0.6843894675925926,0.6821952160493827
0.01,1,B1,seen,__all__,central_furniture,144,2,0,46,96,0.041666666666666664,1.0,0.08,0.0,0.6161024305555556,0.6161024305555556
0.01,1,B2,seen,__all__,central_furniture,144,2,1,46,95,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.010416666666666666,0.6942274305555556,0.6942274305555556
0.01,1,B3,seen,__all__,central_furniture,144,2,1,46,95,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.010416666666666666,0.6942274305555556,0.6857638888888888
0.01,1,P1,seen,__all__,central_furniture,144,2,1,46,95,0.041666666666666664,0.6666666666666666,0.0784313725490196,0.010416666666666666,0.6942274305555556,0.68359375
0.01,1,B1,seen,__all__,clear,144,7,4,41,92,0.14583333333333334,0.6363636363636364,0.23728813559322035,0.041666666666666664,0.646484375,0.646484375
0.01,1,B2,seen,__all__,clear,144,5,1,43,95,0.10416666666666667,0.8333333333333334,0.18518518518518517,0.010416666666666666,0.7157118055555556,0.7157118055555556
0.01,1,B3,seen,__all__,clear,144,4,1,44,95,0.08333333333333333,0.8,0.1509433962264151,0.010416666666666666,0.7157118055555556,0.7137586805555556
0.01,1,P1,seen,__all__,clear,144,4,1,44,95,0.08333333333333333,0.8,0.1509433962264151,0.010416666666666666,0.7157118055555556,0.7139756944444444
0.01,1,B1,seen,__all__,vertical_mid,144,0,0,48,96,0.0,,0.0,0.0,0.6668836805555556,0.6668836805555556
0.01,1,B2,seen,__all__,vertical_mid,144,1,1,47,95,0.020833333333333332,0.5,0.04,0.010416666666666666,0.6681857638888888,0.6681857638888888
0.01,1,B3,seen,__all__,vertical_mid,144,0,1,48,95,0.0,0.0,0.0,0.010416666666666666,0.6681857638888888,0.6584201388888888
0.01,1,P1,seen,__all__,vertical_mid,144,0,1,48,95,0.0,0.0,0.0,0.010416666666666666,0.6681857638888888,0.6731770833333334
0.01,1,B1,seen,harsh,__all__,216,9,4,63,140,0.125,0.6923076923076923,0.21176470588235294,0.027777777777777776,0.6380208333333334,0.6380208333333334
0.01,1,B2,seen,harsh,__all__,216,8,0,64,144,0.1111111111111111,1.0,0.2,0.0,0.7622492283950617,0.7622492283950617
0.01,1,B3,seen,harsh,__all__,216,6,0,66,144,0.08333333333333333,1.0,0.15384615384615385,0.0,0.7622492283950617,0.7622492283950617
0.01,1,P1,seen,harsh,__all__,216,6,0,66,144,0.08333333333333333,1.0,0.15384615384615385,0.0,0.7622492283950617,0.7604166666666666
0.01,1,B1,seen,harsh,central_furniture,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.6319444444444444,0.6319444444444444
0.01,1,B2,seen,harsh,central_furniture,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.7769097222222222,0.7769097222222222
0.01,1,B3,seen,harsh,central_furniture,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.7769097222222222,0.7769097222222222
0.01,1,P1,seen,harsh,central_furniture,72,2,0,22,48,0.08333333333333333,1.0,0.15384615384615385,0.0,0.7769097222222222,0.7769097222222222
0.01,1,B1,seen,harsh,clear,72,7,4,17,44,0.2916666666666667,0.6363636363636364,0.4,0.08333333333333333,0.6692708333333334,0.6692708333333334
0.01,1,B2,seen,harsh,clear,72,5,0,19,48,0.20833333333333334,1.0,0.3448275862068966,0.0,0.8020833333333334,0.8020833333333334
0.01,1,B3,seen,harsh,clear,72,4,0,20,48,0.16666666666666666,1.0,0.2857142857142857,0.0,0.8020833333333334,0.8020833333333334
0.01,1,P1,seen,harsh,clear,72,4,0,20,48,0.16666666666666666,1.0,0.2857142857142857,0.0,0.8020833333333334,0.8012152777777778
0.01,1,B1,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.6970486111111112,0.6970486111111112
0.01,1,B2,seen,harsh,vertical_mid,72,1,0,23,48,0.041666666666666664,1.0,0.08,0.0,0.7447916666666666,0.7447916666666666
0.01,1,B3,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.7447916666666666,0.7447916666666666
0.01,1,P1,seen,harsh,vertical_mid,72,0,0,24,48,0.0,,0.0,0.0,0.7447916666666666,0.7413194444444444
0.01,1,B1,seen,standard,__all__,216,0,0,72,144,0.0,,0.0,0.0,0.6311728395061729,0.6311728395061729
0.01,1,B2,seen,standard,__all__,216,0,3,72,141,0.0,0.0,0.0,0.020833333333333332,0.5929783950617284,0.5929783950617284
0.01,1,B3,seen,standard,__all__,216,0,3,72,141,0.0,0.0,0.0,0.020833333333333332,0.5929783950617284,0.5929783950617284
0.01,1,P1,seen,standard,__all__,216,0,3,72,141,0.0,0.0,0.0,0.020833333333333332,0.5929783950617284,0.5987654320987654
0.01,1,B1,seen,standard,central_furniture,72,0,0,24,48,0.0,,0.0,0.0,0.6302083333333334,0.6302083333333334
0.01,1,B2,seen,standard,central_furniture,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5980902777777778,0.5980902777777778
0.01,1,B3,seen,standard,central_furniture,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5980902777777778,0.5980902777777778
0.01,1,P1,seen,standard,central_furniture,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.5980902777777778,0.5902777777777778
0.01,1,B1,seen,standard,clear,72,0,0,24,48,0.0,,0.0,0.0,0.6588541666666666,0.6588541666666666
0.01,1,B2,seen,standard,clear,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.6163194444444444,0.6163194444444444
0.01,1,B3,seen,standard,clear,72,0,1,24,47,0.0,0.0,0.0,0.020833333333333332,0.6163194444444444,0.6163194444444444
