seed,budget,method,calibration_group,fallback,n,tp,fp,fn,tn,recall,precision,f1,false_positive_rate,auroc,margin_auroc
4,0.15,P1,0,False,164,4,16,50,94,0.07407407407407407,0.2,0.10810810810810811,0.14545454545454545,0.34915824915824917,0.34915824915824917
4,0.15,P1,1,False,268,23,26,67,152,0.25555555555555554,0.46938775510204084,0.33093525179856115,0.14606741573033707,0.5320848938826467,0.5320848938826467
0,0.2,B1,all,False,432,22,57,122,231,0.1527777777777778,0.27848101265822783,0.19730941704035873,0.19791666666666666,0.48811246141975306,0.48811246141975306
0,0.2,B2,all,False,432,30,57,114,231,0.20833333333333334,0.3448275862068966,0.2597402597402597,0.19791666666666666,0.5007716049382716,0.5007716049382716
0,0.2,B3,harsh,False,216,14,28,58,116,0.19444444444444445,0.3333333333333333,0.24561403508771928,0.19444444444444445,0.5384837962962963,0.5384837962962963
0,0.2,B3,standard,False,216,13,28,59,116,0.18055555555555555,0.3170731707317073,0.23008849557522124,0.19444444444444445,0.4554398148148148,0.4554398148148148
0,0.2,P1,0,False,164,9,22,45,88,0.16666666666666666,0.2903225806451613,0.21176470588235294,0.2,0.419023569023569,0.419023569023569
0,0.2,P1,1,False,268,16,35,74,143,0.17777777777777778,0.3137254901960784,0.22695035460992907,0.19662921348314608,0.5390761548064918,0.5390761548064918
1,0.2,B1,all,False,432,43,57,101,231,0.2986111111111111,0.43,0.3524590163934426,0.19791666666666666,0.568407600308642,0.568407600308642
1,0.2,B2,all,False,432,49,57,95,231,0.3402777777777778,0.46226415094339623,0.392,0.19791666666666666,0.5979456018518519,0.5979456018518519
1,0.2,B3,harsh,False,216,29,28,43,116,0.4027777777777778,0.5087719298245614,0.4496124031007752,0.19444444444444445,0.6490162037037037,0.6490162037037037
1,0.2,B3,standard,False,216,20,28,52,116,0.2777777777777778,0.4166666666666667,0.3333333333333333,0.19444444444444445,0.5530478395061729,0.5530478395061729
1,0.2,P1,0,False,164,15,22,39,88,0.2777777777777778,0.40540540540540543,0.32967032967032966,0.2,0.557070707070707,0.557070707070707
1,0.2,P1,1,False,268,36,35,54,143,0.4,0.5070422535211268,0.4472049689440994,0.19662921348314608,0.6343320848938826,0.6343320848938826
2,0.2,B1,all,False,432,71,57,73,231,0.4930555555555556,0.5546875,0.5220588235294118,0.19791666666666666,0.7109375,0.7109375
2,0.2,B2,all,False,432,29,57,115,231,0.2013888888888889,0.3372093023255814,0.25217391304347825,0.19791666666666666,0.4934895833333333,0.4934895833333333
2,0.2,B3,harsh,False,216,11,28,61,116,0.1527777777777778,0.28205128205128205,0.1981981981981982,0.19444444444444445,0.5161072530864198,0.5161072530864198
2,0.2,B3,standard,False,216,12,28,60,116,0.16666666666666666,0.3,0.21428571428571427,0.19444444444444445,0.44733796296296297,0.44733796296296297
2,0.2,P1,0,False,164,7,22,47,88,0.12962962962962962,0.2413793103448276,0.1686746987951807,0.2,0.4063973063973064,0.4063973063973064
2,0.2,P1,1,False,268,13,35,77,143,0.14444444444444443,0.2708333333333333,0.18840579710144928,0.19662921348314608,0.5290886392009988,0.5290886392009988
3,0.2,B1,all,False,432,98,57,46,231,0.6805555555555556,0.632258064516129,0.6555183946488294,0.19791666666666666,0.8269917052469136,0.8269917052469136
3,0.2,B2,all,False,432,42,57,102,231,0.2916666666666667,0.42424242424242425,0.345679012345679,0.19791666666666666,0.5717351466049383,0.5717351466049383
3,0.2,B3,harsh,False,216,28,28,44,116,0.3888888888888889,0.5,0.4375,0.19444444444444445,0.6630015432098766,0.6630015432098766
3,0.2,B3,standard,False,216,15,28,57,116,0.20833333333333334,0.3488372093023256,0.2608695652173913,0.19444444444444445,0.46238425925925924,0.46238425925925924
3,0.2,P1,0,False,164,10,22,44,88,0.18518518518518517,0.3125,0.23255813953488372,0.2,0.431986531986532,0.431986531986532
3,0.2,P1,1,False,268,32,35,58,143,0.35555555555555557,0.47761194029850745,0.40764331210191085,0.19662921348314608,0.6466916354556804,0.6466916354556804
4,0.2,B1,all,False,432,24,57,120,231,0.16666666666666666,0.2962962962962963,0.21333333333333335,0.19791666666666666,0.47393422067901236,0.47393422067901236
4,0.2,B2,all,False,432,34,57,110,231,0.2361111111111111,0.37362637362637363,0.28936170212765955,0.19791666666666666,0.47183641975308643,0.47183641975308643
4,0.2,B3,harsh,False,216,22,28,50,116,0.3055555555555556,0.44,0.36065573770491804,0.19444444444444445,0.5393518518518519,0.5393518518518519
4,0.2,B3,standard,False,216,6,28,66,116,0.08333333333333333,0.17647058823529413,0.11320754716981132,0.19444444444444445,0.3908179012345679,0.3908179012345679
4,0.2,P1,0,False,164,4,22,50,88,0.07407407407407407,0.15384615384615385,0.1,0.2,0.34915824915824917,0.34915824915824917
4,0.2,P1,1,False,268,25,35,65,143,0.2777777777777778,0.4166666666666667,0.3333333333333333,0.19662921348314608,0.5320848938826467,0.5320848938826467
