budget,method,scope,facility,geometry,n_seeds,recall_n_defined,recall_mean,recall_std,precision_n_defined,precision_mean,precision_std,f1_n_defined,f1_mean,f1_std,auroc_n_defined,auroc_mean,auroc_std,margin_auroc_n_defined,margin_auroc_mean,margin_auroc_std,false_positive_rate_n_defined,false_positive_rate_mean,false_positive_rate_std
0.01,P1,seen,__all__,central_furniture,5,5,0.04166666666666667,0.020833333333333336,5,0.8833333333333332,0.16244657241348273,5,0.07861913996367778,0.03785835210680418,5,0.5996961805555555,0.07260608224821333,5,0.590234375,0.07114786363928316,5,0.004166666666666667,0.00570544330734548
0.01,P1,seen,__all__,clear,5,5,0.09166666666666666,0.056288567025442895,5,0.5890909090909091,0.1717088530367696,5,0.1546846253691755,0.08657308370376536,5,0.6095486111111111,0.08334878848834244,5,0.6187065972222221,0.07489463406292704,5,0.029166666666666667,0.017116329922036443
0.01,P1,seen,__all__,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.6259114583333333,0.055169651387412484,5,0.595703125,0.058714590541718646,5,0.0020833333333333333,0.004658474953124562
0.01,P1,seen,harsh,__all__,5,5,0.08888888888888888,0.0252304196174791,5,0.840909090909091,0.1590909090909091,5,0.1589302960831179,0.04011679792642278,5,0.6441743827160493,0.09170479346877043,5,0.6423611111111112,0.09161836469706404,5,0.01111111111111111,0.011620278146306605
0.01,P1,seen,harsh,central_furniture,5,5,0.08333333333333334,0.04166666666666667,5,0.95,0.11180339887498948,5,0.15007081807081807,0.06921609326477667,5,0.656423611111111,0.09018048643729061,5,0.656423611111111,0.09018048643729061,5,0.004166666666666667,0.009316949906249124
0.01,P1,seen,harsh,clear,5,5,0.18333333333333332,0.11257713405088579,5,0.8299999999999998,0.17175564037317667,5,0.2807058823529412,0.14662266171717944,5,0.6739583333333334,0.09990297484900316,5,0.670138888888889,0.10072998355120907,5,0.029166666666666664,0.03486083443891982
0.01,P1,seen,harsh,vertical_mid,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.6796875,0.057021405902482586,5,0.6782986111111111,0.05557115123979114,5,0.0,0.0
0.01,P1,seen,standard,__all__,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5566358024691358,0.0617957757608842,5,0.5335841049382715,0.05848588401818937,5,0.0125,0.005810139073153302
0.01,P1,seen,standard,central_furniture,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5545138888888889,0.05277463669380946,5,0.5147569444444444,0.06585504487709268,5,0.004166666666666667,0.009316949906249124
0.01,P1,seen,standard,clear,5,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.5614583333333333,0.058241935052414685,5,0.5663194444444445,0.05608404767960391,5,0.029166666666666667,0.01141088661469096
0.01,P1,seen,standard,vertical_mid,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.5682291666666666,0.08451090378070622,5,0.5267361111111111,0.07619233709414144,5,0.004166666666666667,0.009316949906249124
0.01,P1,unseen,__all__,__all__,5,5,0.017499999999999998,0.009033118078616167,5,0.9428571428571428,0.12777531299998798,5,0.03420770351627186,0.017462368911826214,5,0.5821805555555556,0.057575333295492935,5,0.5778645833333333,0.0508000050687597,5,0.0008333333333333333,0.0018633899812498245
0.01,P1,unseen,__all__,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.5832899305555556,0.054849246173238955,5,0.5953559027777778,0.035221695129536754,5,0.0,0.0
0.01,P1,unseen,__all__,low_new,5,5,0.03333333333333333,0.018633899812498248,5,1.0,0.0,5,0.06401920768307323,0.03444725396292628,5,0.6006510416666668,0.07355000580810055,5,0.6139322916666667,0.06361524425037153,5,0.0,0.0
0.01,P1,unseen,__all__,two_new,5,5,0.024999999999999998,0.01743041721945991,4,,,5,0.0483265306122449,0.03337168417171175,5,0.5809461805555556,0.05507900570338252,5,0.5877604166666667,0.04902199168008392,5,0.0,0.0
0.01,P1,unseen,__all__,vertical_new,5,5,0.0,0.0,1,,,5,0.0,0.0,5,0.6202690972222222,0.04860587924474473,5,0.5856336805555554,0.05170890439788595,5,0.0020833333333333333,0.004658474953124562
0.01,P1,unseen,__all__,wide_new,5,5,0.029166666666666667,0.018633899812498245,4,,,5,0.05584953981592637,0.03543161449582471,5,0.5714409722222223,0.05720063758171348,5,0.5576388888888889,0.051895957434463416,5,0.0020833333333333333,0.004658474953124562
0.01,P1,unseen,harsh,__all__,5,5,0.034999999999999996,0.018066236157232334,5,1.0,0.0,5,0.06715948083135836,0.03390395319546316,5,0.6141666666666666,0.07458925753680605,5,0.6113611111111111,0.07546092131838267,5,0.0,0.0
0.01,P1,unseen,harsh,horizontal_new,5,5,0.0,0.0,0,,,5,0.0,0.0,5,0.609548611111111,0.06656180718210122,5,0.5887152777777778,0.07205488593827042,5,0.0,0.0
