budget,seed,scope,facility,geometry,method,recall,precision,f1,auroc,margin_auroc,false_positive_rate
0.01,3,seen,__all__,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.01627604166666663,0.0
0.01,3,seen,__all__,clear,P1_minus_B3,0.0,-0.06060606060606066,-0.004519774011299438,0.0,0.0,0.010416666666666664
0.01,3,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.00499131944444442,0.0
0.01,3,seen,harsh,__all__,P1_minus_B3,0.0,-0.08181818181818179,-0.0026447252424331436,0.0,-0.0025077160493827133,0.006944444444444444
0.01,3,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,seen,harsh,clear,P1_minus_B3,0.0,-0.0888888888888888,-0.014260249554367221,0.0,-0.006076388888888951,0.020833333333333332
0.01,3,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.0026041666666666297,0.0
0.01,3,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.05005787037037046,0.0
0.01,3,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,-0.04253472222222221,0.0
0.01,3,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.0026041666666666297,0.0
0.01,3,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.10069444444444442,0.0
0.01,3,unseen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0016319444444444775,0.0
0.01,3,unseen,__all__,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,0.05208333333333326,0.0
0.01,3,unseen,__all__,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.00846354166666663,0.0
0.01,3,unseen,__all__,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0032552083333333703,0.0
0.01,3,unseen,__all__,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.0015190972222222099,0.0
0.01,3,unseen,__all__,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,-0.025390625,0.0
0.01,3,unseen,harsh,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.003958333333333286,0.0
0.01,3,unseen,harsh,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.03125,0.0
0.01,3,unseen,harsh,low_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,unseen,harsh,two_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,unseen,harsh,vertical_new,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,3,unseen,harsh,wide_new,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,unseen,standard,__all__,P1_minus_B3,0.0,,0.0,0.0,-0.043923611111111094,0.0
0.01,3,unseen,standard,horizontal_new,P1_minus_B3,0.0,,0.0,0.0,-0.00694444444444442,0.0
0.01,3,unseen,standard,low_new,P1_minus_B3,0.0,,0.0,0.0,0.0008680555555555802,0.0
0.01,3,unseen,standard,two_new,P1_minus_B3,0.0,,0.0,0.0,-0.01736111111111116,0.0
0.01,3,unseen,standard,vertical_new,P1_minus_B3,0.0,,0.0,0.0,-0.11631944444444442,0.0
0.01,3,unseen,standard,wide_new,P1_minus_B3,0.0,,0.0,0.0,-0.05989583333333337,0.0
0.01,4,all,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,0.00011867947048616045,0.0
0.01,4,seen,__all__,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.0013020833333333703,0.0
0.01,4,seen,__all__,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,-0.017578125,0.0
0.01,4,seen,__all__,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.004557291666666741,0.0
0.01,4,seen,__all__,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.02560763888888895,0.0
0.01,4,seen,harsh,__all__,P1_minus_B3,0.0,-0.0636363636363636,-0.0020570085218924727,0.0,-0.0007716049382716639,0.006944444444444444
0.01,4,seen,harsh,central_furniture,P1_minus_B3,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4,seen,harsh,clear,P1_minus_B3,0.0,-0.06666666666666665,-0.010695187165775388,0.0,-0.0008680555555554692,0.02083333333333333
0.01,4,seen,harsh,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,0.0,0.0
0.01,4,seen,standard,__all__,P1_minus_B3,0.0,0.0,0.0,0.0,-0.009066358024691357,-0.006944444444444444
0.01,4,seen,standard,central_furniture,P1_minus_B3,0.0,,0.0,0.0,-0.045138888888888895,0.0
0.01,4,seen,standard,clear,P1_minus_B3,0.0,0.0,0.0,0.0,0.008680555555555525,-0.020833333333333332
0.01,4,seen,standard,vertical_mid,P1_minus_B3,0.0,,0.0,0.0,-0.01215277777777779,0.0
